problem_type,distress_condition,requested_support,vulnerable_condition,complaint_summary,id
น้ำท่วมสูง,น้ำท่วมสูง บ้านเลขที่ 72/114 ติดกับโรงรถหลังคาเขียว ผู้คนหมดแรง,ไม่ได้ระบุ,ผู้ใหญ่ เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง บ้านเลขที่ 72/114 ติดกับโรงรถหลังคาเขียว ผู้คนหมดแรง,message_00363
น้ำท่วม,น้ำท่วมสูงประมาณหัวเข่าจากในบ้าน ต้องการไปที่ปลอดภัย,อพยพ,ผู้สูงอายุ วัยรุ่น แมว,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงประมาณหัวเข่าจากในบ้าน ต้องการไปที่ปลอดภัย มีผู้สูงอายุ 1 คน วัยรุ่น 1 คน และแมว 2 ตัว,message_00365
น้ำท่วมสูง,น้ำท่วมสูงมาก มีผู้พักอาศัย 20 คนในชั้น 2 รวมเด็ก ผู้สูงอายุ,ข้าวสาร อาหาร น้ำ ยา ไฟฉาย เทียน,เด็ก ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือจากน้ำท่วมสูงมากในหมู่ 8 ต.คลองแห อ หาดใหญ่ มีผู้พักอาศัย 20 คนในชั้น 2 รวมเด็ก ผู้สูงอายุ ต้องการข้าวสาร อาหาร น้ำ ยา ไฟฉาย เทียน,message_00373
น้ำท่วมชั้น1,น้ำท่วมชั้น1 ถึงหัว ติดอยู่ในบ้าน 3 ผู้สูงอายุ ติดต่อไม่ได้,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมชั้น1 ถึงหัว บ้านเลขที่101 มีผู้สูงอายุ 3 รายติดอยู่และติดต่อไม่ได้,message_00377
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือที่เขต 8 ซอย 24 ราชอุทิศ,message_00380
ไม่ได้ระบุ,ผู้ใหญ่ 2 คนติดอยู่ในบ้านชั้น 2,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากปัญหายังไม่ระบุและผู้ใหญ่ 2 คนติดอยู่ในบ้านชั้น 2,message_00381
น้ำท่วมสูง,ติดอยู่ในหอพักใหม่ข้างร้านแก๊ส 25 ถนนเลียบคลอง ร5 ต.คอหงส์ อ.หาดใหญ่ สงขลา ขาดน้ำและอาหาร รวมถึงการติดต่อ,น้ำและอาหาร,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงทำให้ติดอยู่ในหอพักใหม่ข้างร้านแก๊ส 25 ถนนเลียบคลอง ร5 ต.คอหงส์ อ.หาดใหญ่ สงขลา ขาดน้ำและอาหาร รวมถึงการติดต่อ,message_00388
ผู้ป่วยฟอกไต,ต้องการรถเพื่อไปฟอกไต โรงพยาบาล สงขลาเกาะยอ บ้านติดถนนใหญ่ ตรงข้ามป้อมตำรวจ,รถ,ผู้ป่วยฟอกไต,ผู้ป่วยฟอกไตขอรถเพื่อเดินทางไปโรงพยาบาล สงขลาเกาะยอ บ้านติดถนนใหญ่ ตรงข้ามป้อมตำรวจ,message_00391
น้ำท่วมถึงชั้น 2,ติดอยู่ 10+ วัน มีคนแก่และเด็ก 2 ขวบ หมา 1 แมว 1 น้ำท่วมถึงชั้น 2 ต้องปีนหนีไปบ้านข้าง ๆ,อพยพ,คนแก่ เด็ก 2 ขวบ,ผู้ร้องขออพยพด่วนเนื่องจากน้ำท่วมถึงชั้น 2 ติดอยู่ 10+ วัน มีคนแก่และเด็ก 2 ขวบ หมา 1 แมว 1 ต้องปีนหนีไปบ้านข้าง ๆ,message_00394
น้ำท่วมสูง,น้ำท่วมสูง มีเด็ก 7 เดือนและคนในบ้าน 5 คน ต้องการเรือขนเด็ก,เรือขนเด็ก,เด็ก 7 เดือน,ผู้ร้องขอเรือขนเด็กเนื่องจากน้ำท่วมสูงที่ซอย 26/1 คลองเตย มีเด็ก 7 เดือนและคนในบ้าน 5 คน,message_00395
น้ำท่วมชั้น 1,ท่วมชั้นที่1 ต้องการอาหารและน้ำ,อาหาร น้ำ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมชั้น 1 มีความต้องการอาหารและน้ำ,message_00400
น้ำขึ้นสูง,น้ำขึ้นสูงมาก ไม่สามารถติดต่อได้ 3 วัน น้ำไฟอาหารขาด 4 คนเป็นผู้หญิง,อพยพ,ผู้หญิง,ผู้ขอความช่วยเหลือรายนี้ประสบปัญหาน้ำขึ้นสูงมากในบ้านเลขที่ 21 ท่าเคียนซอย 7 มี 4 คนเป็นผู้หญิง ขาดน้ำไฟอาหารและไม่สามารถติดต่อได้ 3 วัน จึงต้องการอพยพออกจากบ้านโดยด่วนโดยใช้เรือ,message_00401
ไม่ได้ระบุ,ไม่มีอาหารในคอนโดที่มีคนหลายคน,อาหาร,ไม่ได้ระบุ,ผู้ร้องขออาหารเนื่องจากไม่มีอาหารในคอนโดที่มีคนหลายคน,message_00404
น้ำท่วม,น้ำสูงขึ้นถึงชั้นสอง บ้านมี 4 คน อาหารกำลังจะหมด ต้องการเรือรับคนโดยด่วน,อพยพ,ไม่ได้ระบุ,ผู้แจ้งรายนี้ประสบปัญหาน้ำท่วมสูงถึงชั้นสองของบ้าน มี 4 คนในบ้าน อาหารกำลังจะหมด ต้องการเรือรับคนโดยด่วนและอพยพออกจากพื้นที่,message_00406
น้ำท่วม,น้ำท่วมสูงมาก บ้านไม่สามารถอยู่ได้ น้ำถึงต้นขาชั้น 2 บ้านสองชั้น พังเพดาน ติดต่อลูกบ้านไม่ได้,อพยพ,ผู้สูงอายุ เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงมาก บ้านไม่สามารถอยู่ได้ น้ำถึงต้นขาชั้น 2 บ้านสองชั้น พังเพดาน ติดต่อลูกบ้านไม่ได้,message_00413
น้ำท่วมสูง,น้ำท่วมสูงกำลังพังเพดาน ต้องการขึ้นบนหลังคา ไม่มีอาหารและแบตโทรศัพท์,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงกำลังพังเพดาน ต้องการขึ้นบนหลังคา ไม่มีอาหารและแบตโทรศัพท์,message_00415
น้ำท่วมสูง,ติดอยู่ 90 กว่าคน ส่วนใหญ่เป็นคนแก่,ไม่ได้ระบุ,คนแก่,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงติดอยู่ 90 กว่าคนส่วนใหญ่เป็นคนแก่,message_00419
น้ำขึ้นชั้น 2,น้ำท่วมจะขึ้นชั้นที่2 ในหมู่บ้านนิพัทธ์เเลนด์ คลองร 5,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมจะขึ้นชั้นที่2 ในหมู่บ้านนิพัทธ์เเลนด์ คลองร 5,message_00420
น้ำท่วมสูง,ผูชายสองคนติดอยู่ชั้น2 แบตโทรศัพท์หมด ติดต่อไม่ได้,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูง ผู้ชายสองคนติดอยู่ชั้น2 แบตโทรศัพท์หมด ติดต่อไม่ได้,message_00424
ไม่ได้ระบุ,คนติดอยู่บนหลังคา หญิง 4 ชาย 1 ไม่มีสัญญาณ ติดต่อไม่ได้,ไม่ได้ระบุ,ไม่ได้ระบุ,บ้านเลขที่ 115 มีคนติดอยู่บนหลังคา หญิง 4 ชาย 1 ไม่มีสัญญาณ ติดต่อไม่ได้,message_00425
ไม่ได้ระบุ,ติดอยู่ในอาคารขาดการติดต่อ 2 วันและขาดอาหาร,อพยพ,เด็กเล็ก ผู้หญิง,ผู้ร้องขออพยพเนื่องจากติดอยู่ในอาคารขาดการติดต่อ 2 วันและขาดอาหาร,message_00427
น้ำท่วมสูง,น้ำท่วมสูง มีเด็กและผู้สูงอายุขาดอาหารและยา มีอาการไข้,ไม่ได้ระบุ,เด็ก ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง มีเด็กและผู้สูงอายุขาดอาหารและยา มีอาการไข้,message_00435
น้ำท่วมสูง,แม่กับพี่สาวติดอยู่ในบ้าน น้ำท่วมสูง,เรืออพยพ,แม่ พี่สาว,ผู้ร้องขออพยพเรือด่วนเนื่องจากแม่และพี่สาวติดอยู่ในบ้าน น้ำท่วมสูง,message_00438
น้ำท่วมชั้น 2,น้ำท่วมชั้น 2 มีอาหารเริ่มหมดแม่และน้อง,อพยพ,แม่และน้อง,ผู้ร้องขออพยพเนื่องจากน้ำท่วมชั้น 2 มีอาหารเริ่มหมดแม่และน้องที่บ้านเลขที่ 536 ถนนประชาอุทิศ ซอยกล้วยไม้ติเต่า,message_00440
น้ำท่วมสูง 1ชั้น,กำลังขึ้นชั้นสูง,ไม่ได้ระบุ,ไม่ได้ระบุ,เหตุการณ์น้ำท่วมสูง 1 ชั้น กำลังขึ้นชั้นสูง,message_00443
น้ำท่วมสูง,น้ำท่วมสูง ซอยทุ่งเสาร์,เรือ,ไม่ได้ระบุ,ผู้ร้องขอเรือเนื่องจากน้ำท่วมสูงที่ซอยทุ่งเสาร์,message_00453
น้ำท่วมสูง,หมดเสบียงแล้ว,เรือ,ไม่ได้ระบุ,ผู้ร้องขอเรือเนื่องจากน้ำท่วมสูงและหมดเสบียงแล้ว,message_00454
น้ำท่วมสูงชั้น 1,น้ำท่วมสูงชั้น 1,เรือ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือด้วยเรือเนื่องจากน้ำท่วมสูงชั้น 1,message_00459
น้ำท่วมสูง,น้ำท่วมสูง มิดชั้น 1 ต้องการอาหารและน้ำ,อาหาร น้ำ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง มิดชั้น 1 ต้องการอาหารและน้ำ,message_00461
น้ำท่วม,น้ำท่วมสูงถึงชั้น2 บ้าน 2 ชั้น,เรืออพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพด้วยเรือเนื่องจากน้ำท่วมสูงถึงชั้น 2 บ้าน 2 ชั้นในโซนจันทร์นิเวศน์ ถนนนิพัทธ์ภักดี หลังรร ฟลอริด้า เลขที่ 56,message_00473
น้ำท่วมสูง,น้ำท่วมสูง ติดอยู่ในแฟลตตำรวจมาสี่วัน,เรือ,ไม่ได้ระบุ,ผู้ร้องขอเรือเนื่องจากน้ำท่วมสูงและติดอยู่ในแฟลตตำรวจมาสี่วัน,message_00476
ไฟดับ,ไม่มีการติดต่อกับคนในซอย มีหลายชีวิตติดอยู่ เด็กสามขวบอยู่บนหลังคา,ช่วยเหลือ,เด็กสามขวบ,ผู้ร้องขอความช่วยเหลือเนื่องจากไฟดับในซอยจันวิโรจน์ หาดใหญ่ มีหลายชีวิตติดอยู่และเด็กสามขวบอยู่บนหลังคา,message_00478
น้ำท่วมสูง,น้ำท่วมสูง ไม่มีข้าวกิน ไม่มีน้ำกินมา 2 วัน,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงและขาดอาหารน้ำมา 2 วัน,message_00484
น้ำท่วม,น้ำเพิ่มสูงและไหลแรง ติดคลองอู่ตะเภา บ้านมีผู้ใหญ่เด็กสัตว์เลี้ยงชั้น 2 ไม่สามารถติดต่อได้,น้ำ อาหาร ยา,เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากระดับน้ำเพิ่มสูงและไหลแรงติดคลองอู่ตะเภา บ้านมีผู้ใหญ่และเด็กสัตว์เลี้ยงอยู่ชั้น 2 ไม่สามารถติดต่อได้,message_00462
น้ำท่วมบ้านสูง,น้ำท่วมบ้านสูง มีผู้สูงอายุ 6 คน และผู้ป่วยติดเตียงอายุ 90+ คน,เรือ อพยพ,ผู้สูงอายุ ผู้ป่วยติดเตียง,ผู้ร้องขออพยพและเรือเนื่องจากน้ำท่วมบ้านสูง มีผู้สูงอายุ 6 คนและผู้ป่วยติดเตียงอายุ 90+ คน,message_00463
น้ำท่วมสูงถึงชั้น2,ติดอยู่ในบ้านผู้ใหญ่9คน เด็กเล็ก2คน ไม่สามารถติดต่อได้,อพยพ,ผู้ใหญ่ เด็กเล็ก,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงถึงชั้น2 ติดอยู่ในบ้านผู้ใหญ่9คน เด็กเล็ก2คน ไม่สามารถติดต่อได้,message_00466
น้ำท่วม,น้ำท่วมสูงมากถึงชั้นสอง ติดต่อแม่ไม่ได้ ไม่แน่ใจว่ามีคนอยู่ด้วย,อพยพ,ไม่ได้ระบุ,ผู้แจ้งรายนี้ประสบปัญหาน้ำท่วมสูงมากถึงชั้นสองและไม่สามารถติดต่อแม่ได้ ทำให้ต้องอพยพออก,message_00471
น้ำท่วมสูง,น้ำท่วมสูงจมหัวไม่มีอาหารและน้ำ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงจมหัวไม่มีอาหารและน้ำ,message_00489
น้ำท่วมสูง,น้ำท่วมสูงจมหัวไม่มีอาหารและน้ำ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงจมหัวไม่มีอาหารและน้ำ,message_00493
น้ำท่วมสูง,ขาดอาหารและน้ำ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงและขาดอาหารและน้ำ,message_00494
น้ำท่วมสูง,น้ำท่วมสูง,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงและต้องการเรือ,message_00501
น้ำขึ้นชั้น 2,น้ำกำลังท่วมชั้น2 อาหารไม่มี แบตหมด ไม่สามารถติดต่อได้ มีคนประมาณ10 คน รวมคนแก่2 คน เด็ก6 คน รวมเด็กเล็ก ผู้ใหญ่ประมาณ10 คน,อพยพ,คนแก่ เด็กเล็ก,ผู้ร้องขออพยพเนื่องจากน้ำกำลังท่วมชั้น2 มีอาหารไม่มี แบตหมด ไม่สามารถติดต่อได้ มีคนประมาณ10 คน รวมคนแก่2 คน เด็ก6 คน รวมเด็กเล็ก ผู้ใหญ่ประมาณ10 คน,message_00505
น้ำท่วมสูงชั้น2,น้ำท่วมสูงชั้น2,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงชั้น 2,message_00506
น้ำท่วมสูง,น้ำท่วมสูงถึงศีรษะ ขาดน้ำขาดอาหารเข้าวันที่ 2 เกือบ 20 คน,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพด่วนเนื่องจากน้ำท่วมสูงถึงศีรษะ ขาดน้ำขาดอาหารเข้าวันที่ 2 มีเกือบ 20 คน,message_00507
น้ำขึ้น,น้ำขึ้นเรื่อย ๆ ใกล้ชั้น 2 อาหารหมด,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำขึ้นเรื่อย ๆ ใกล้ชั้น 2 และอาหารหมด จำนวน 2 คน,message_00514
ไม่ได้ระบุ,ติดอยู่ที่บ้านหลายวัน ขาดน้ำและอาหาร ติดต่อไม่ได้ กลัวและเป็นแพนิค,ติดต่อญาติ,ผู้สูงอายุ เด็กเล็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากผู้สูงอายุ 90 ปีและหลาน 10 ขวบติดอยู่ที่บ้านหลายวัน ขาดน้ำและอาหาร ติดต่อไม่ได้ มีความกลัวและแพนิค,message_00539
น้ำท่วมสูง,ติดอยู่ใต้หลังคาบ้าน น้ำท่วมสูง,ไม่ได้ระบุ,ทารก เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง ผู้ติดอยู่ใต้หลังคาบ้าน มีทารก 1 คน เด็ก 1 คน ผู้ใหญ่ 3 คน,message_00542
น้ำท่วมสูง,น้ำท่วมสูง ต้องการอาหารและน้ำดื่ม,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงและขาดอาหารและน้ำดื่ม,message_00544
น้ำท่วม,น้ำท่วมถึงชั้น 2 บ้านหลายหลังติดกัน,ไม่ได้ระบุ,ไม่ได้ระบุ,บ้านเลขที่ 52/13 หมู่ 5 ต.คลองแห อ.หาดใหญ่ จ.สงขลา ประสบภัยน้ำท่วมถึงชั้น 2 บ้านหลายหลังติดกัน,message_00547
น้ำสูง,น้ำสูงถึงหลังคา มีคนชรา เด็ก สัตว์เลี้ยง 15-20 คน ไม่สามารถติดต่อได้,อพยพ,คนแก่ คนป่วย เด็ก,ผู้ขอความช่วยเหลือรายนี้ประสบปัญหาน้ำสูงถึงหลังคา มีคนชรา เด็ก สัตว์เลี้ยง 15-20 คน ไม่สามารถติดต่อได้ จึงต้องอพยพออกจากพื้นที่,message_00515
น้ำท่วมสูงถึงชั้นสอง,น้ำท่วมสูงถึงชั้นสอง ผู้หญิง 2 คน พิกัด 624 ถ โชคสมาน 5 ฝั่งสะพานสัจจกุจ ริมทางรถไฟ,ไม่ได้ระบุ,ผู้หญิง,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงถึงชั้นสอง ผู้หญิง 2 คน พิกัด 624 ถ โชคสมาน 5 ฝั่งสะพานสัจจกุจ ริมทางรถไฟ,message_00528
น้ำท่วมระดับเอว,น้ำท่วมระดับเอว 2 รอบ มีผู้สูงอายุ 1 คน เด็ก 1 คน ผู้ใหญ่ 4 คน แมว 10+ ตัว ขาดอาหารและเครื่องดื่ม,อาหาร เครื่องดื่ม หรือการอพยพ,ผู้สูงอายุ เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมระดับเอว 2 รอบ มีผู้สูงอายุ 1 คน เด็ก 1 คน ผู้ใหญ่ 4 คน แมว 10+ ตัว ขาดอาหารและเครื่องดื่ม,message_00529
น้ำท่วมสูง,น้ำท่วมสูงใกล้จะถึงชั้น 2 มีเด็กติดอยู่ 6 คน ผู้ใหญ่ 10 คน,อพยพ,เด็ก,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงใกล้จะถึงชั้น 2 มีเด็กติดอยู่ 6 คน ผู้ใหญ่ 10 คน,message_00536
น้ำท่วม,น้ำท่วมขึ้นเรื่อย ๆ ภายในบ้าน มีอาหารหมดและมีคนติดอยู่ 3 คน ไม่สามารถออกได้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมขึ้นเรื่อย ๆ ภายในบ้าน มีอาหารหมดและมีคนติดอยู่ 3 คน ไม่สามารถออกได้,message_00551
น้ำท่วม,น้ำท่วมสูง 2 เมตร มีผู้ป่วยติดเตียง,ไม่ได้ระบุ,ผู้ป่วยติดเตียง,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง 2 เมตร มีผู้ป่วยติดเตียงอยู่ริมคลอง ร5 ฝั่งตะวันออก,message_00557
น้ำท่วมสูง,น้ำท่วมสูง บ้านหลังคาสีน้ำเงิน 2 ชั้น ซอยทองดี 4,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงที่บ้านหลังคาสีน้ำเงิน 2 ชั้น ซอยทองดี 4,message_00560
น้ำท่วม,น้ำท่วมจะถึงชั้น 2 ไม่มีอาหาร โทรศัพท์แบตหมด ผู้ใหญ่ 2 คน เด็ก 1 คน ติดอยู่ในบ้าน 73/174 ม 1 ต. คลองแห,อพยพ,ผู้ใหญ่ เด็ก,ผู้ร้องขออพยพเนื่องจากน้ำท่วมจะถึงชั้น 2 ไม่มีอาหาร โทรศัพท์แบตหมด ผู้ใหญ่ 2 คน เด็ก 1 คน ติดอยู่ในบ้าน 73/174 ม 1 ต. คลองแห,message_00565
น้ำขึ้นชั้น 2,น้ำถึงชั้น 2 มี 15 คน รวมเด็ก 2 คนแก่ 2 คนพิการเดินลำบาก มีสัตว์เลี้ยง 3 หมา 7 แมว,อพยพ,เด็ก คนแก่ ผู้พิการ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมถึงชั้น 2 มี 15 คน รวมเด็ก 2 คนแก่ 2 คนพิการเดินลำบาก และสัตว์เลี้ยง 3 หมา 7 แมว,message_00566
น้ำท่วมชั้นแรก,มีเด็กเล็กกลัวระดับน้ำจะเพิ่มขึ้น,อพยพ,เด็กเล็ก,ผู้ร้องขออพยพเนื่องจากน้ำท่วมชั้นแรกและมีเด็กเล็กกลัวระดับน้ำจะเพิ่มขึ้น,message_00568
น้ำขึ้นชั้น 2,น้ำเข้ามาเต็มชั้น 1 มีผู้หญิงและเด็ก 2 คน พี่สาวติดอยู่ในบ้านชั้น 2 สัญญาณโทรศัพท์ต่ำและแบตเตอรี่ใกล้หมด,อพยพ,ผู้หญิง เด็ก,ผู้ร้องขออพยพเนื่องจากน้ำขึ้นชั้น 2 มีผู้หญิงและเด็ก 2 คน พี่สาวติดอยู่ในบ้านชั้น 2 น้ำเข้ามาเต็มชั้น 1 สัญญาณโทรศัพท์ต่ำและแบตเตอรี่ใกล้หมด,message_00572
น้ำท่วมชั้น 2,น้ำกำลังจะท่วมชั้น2 มี 4 คนและแมว 3 ตัว,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำกำลังจะท่วมชั้น2 มี 4 คนและแมว 3 ตัว,message_00574
น้ำท่วมสูง,น้ำท่วมสูง มีคนอยู่ 30 คน,สเบียง,ไม่ได้ระบุ,ผู้ร้องขอสเบียงเนื่องจากน้ำท่วมสูงและมีคนอยู่ 30 คน,message_00575
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,message_00577
น้ำสูงถึงหลังคา,น้ำสูงถึงหลังคา ติดอยู่บนหลังคา มีสัตว์ 3 ตัว บ้านข้างๆเด็ก 3 คนผู้ใหญ่ 1 คน ทุกคนหนาวสั่น ไม่ได้กินข้าวน้ำ 2 วัน,ไม่ได้ระบุ,เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำสูงถึงหลังคา ติดอยู่บนหลังคา มีสัตว์ 3 ตัว บ้านข้างๆเด็ก 3 คนผู้ใหญ่ 1 คน ทุกคนหนาวสั่น ไม่ได้กินข้าวน้ำ 2 วัน,message_00579
น้ำกำลังท่วมสูง,น้ำกำลังท่วมสูง มีผู้สูงอายุและเด็ก 2 คน,อพยพ,ผู้สูงอายุ เด็ก,ผู้ร้องขออพยพเนื่องจากน้ำกำลังท่วมสูง มีผู้สูงอายุและเด็ก 2 คน,message_00580
น้ำท่วม,น้ำท่วมสูงกำลังจะขึ้นชั้น 2,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงกำลังจะขึ้นชั้น 2,message_00582
น้ำขึ้นชั้น 2,น้ำถึงชั้น 2 บ้านมี 8 คน รวมผู้สูงอายุ 2 คน เด็ก 1 คน น้ำและอาหารสำรองเหลือไม่มาก ไม่มีสัญญาณโทรศัพท์,อพยพ,ผู้สูงอายุ เด็ก,ผู้ร้องขออพยพเนื่องจากน้ำขึ้นชั้น 2 บ้านมี 8 คน รวมผู้สูงอายุ 2 คน เด็ก 1 คน น้ำและอาหารสำรองเหลือไม่มาก และไม่มีสัญญาณโทรศัพท์,message_00588
น้ำท่วมสูง,น้ำท่วมสูง ติดอยู่ 80 คน มีเด็กเล็กและผู้สูงอายุ,อาหาร,เด็กเล็ก ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง ติดอยู่ 80 คน รวมเด็กเล็กและผู้สูงอายุ ต้องการอาหาร,message_00591
น้ำท่วม,น้ำท่วมประมาณคอ,เรืออพยพ,ไม่ได้ระบุ,ผู้ร้องขอเรืออพยพเนื่องจากน้ำท่วมประมาณคอในหมู่บ้าน,message_00594
น้ำท่วม,บ้านน้ำท่วมสูงประมาณอก และระดับน้ำที่ทางเข้าซอยสูง,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพออกจากบ้านเนื่องจากน้ำท่วมสูงประมาณอกในบ้านและระดับน้ำที่ทางเข้าซอยสูง,message_00596
น้ำท่วม,น้ำท่วม 4 วัน ไม่มีอาหาร ไฟฟ้าถูกตัด แบตโทรศัพท์ใกล้หมด จำนวน 5 คน,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพด่วนเนื่องจากพื้นที่ถูกน้ำท่วมเป็นเวลา 4 วัน ไม่มีอาหาร ไฟฟ้าถูกตัด และแบตโทรศัพท์ใกล้หมด จำนวน 5 คน,message_00599
น้ำขึ้นชั้น 2,13 คนติดชั้น 2 ต้องการเรืออพยพ บ้านเลขที่ 128 ซอย4บางแฟบพัฒนา,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพด้วยเรือเนื่องจากน้ำขึ้นชั้น 2 ทำให้ 13 คนติดชั้น 2 บ้านเลขที่ 128 ซอย4บางแฟบพัฒนา,message_00601
ไม่ได้ระบุ,ไม่ได้ระบุ,อพยพ,ไม่ได้ระบุ,ผู้ร้องขอเรืออพยพจากบ้านเลขที่ 128 ซอย4บางแฟบพัฒนา,message_00602
น้ำฝน,น้ำฝนและเพื่อนติดอยู่ท้ายซอย,ไม่ได้ระบุ,เล็ก,ผู้ร้องขอความช่วยเหลือในเขต 8 เนื่องจากน้ำฝนและเพื่อนติดอยู่ท้ายซอย,message_00614
น้ำท่วมสูง,น้ำท่วมสูง มีผู้ป่วยโรคหัวใจและผู้ใหญ่ 1 คน,ไม่ได้ระบุ,ผู้ป่วยโรคหัวใจ,ผู้ร้องขอความช่วยเหลือที่ถนน นิพัทธ์สงเคราะห์ ซอย สุรัตน์การเคหะ 1 บ้านเลขที่ 36 ตำบลหาดใหญ่ ประสบน้ำท่วมสูง มีผู้ป่วยโรคหัวใจและผู้ใหญ่ 1 คน,message_00615
น้ำท่วมถึงชั้น2,น้ำท่วมถึงชั้น2 ไม่สามารถติดต่อกับคนในบ้านได้ ผู้สูงอายุ 2 คน,อพยพ,ผู้สูงอายุ,ผู้ร้องขออพยพด่วนเนื่องจากน้ำท่วมถึงชั้น2 ไม่สามารถติดต่อกับคนในบ้านได้ ผู้สูงอายุ 2 คน,message_00618
น้ำขึ้นชั้น 2,น้ำชั้น2 ไม่มีอาหาร ขาดการติดต่อตั้งแต่วันอาทิตย์ ไม่มีหน่วยงานเข้าช่วยเหลือ 15 ซอย2 จันทร์วิโรจน์,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือจากน้ำท่วมขึ้นชั้น2 ที่ 15 ซอย2 จันทร์วิโรจน์ ขาดอาหารและการติดต่อ ไม่มีหน่วยงานเข้าช่วยเหลือ,message_00619
น้ำท่วมชั้น1,น้ำท่วมชั้น1 ติดอยู่ในบ้านชั้น2 มีคน20+ คนรวมถึงผู้สูงอายุและเด็ก ไม่มีข้าวไม่มีน้ำ,อาหาร น้ำ,ผู้สูงอายุ เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมชั้น1 ติดอยู่ในบ้านชั้น2 มีคน20+ คนรวมถึงผู้สูงอายุและเด็ก ไม่มีข้าวไม่มีน้ำ,message_00604
